num,pos,quat_xyzw,time
43,[0.80903694 0.23932117 0.29364748],[ 0.83904347  0.42921477  0.33431587 -0.00369374]
44,[0.78237426 0.2339835  0.17150031],[ 0.86354572  0.42906628  0.26245388 -0.03617844]
45,[0.71837889 0.18324212 0.12077261],[0.83534654 0.54243252 0.07208732 0.05259789]
46,[0.68075603 0.15288206 0.10047569],[0.84057471 0.53912927 0.00097758 0.05265764]
47,[0.59148493 0.1617014  0.10966197],[ 0.81722193  0.55947065 -0.1339986   0.03442787]
48,[0.57283862 0.22443129 0.09378433],[ 0.86682273  0.4694831  -0.10290661 -0.13271853]
49,[0.60557788 0.2457709  0.11524605],[ 0.87923215  0.45345905 -0.03786013 -0.14104018]
50,[0.5474981  0.31269844 0.1020374 ],[ 0.84701326  0.50181676 -0.06673227 -0.16215822]
51,[0.57157216 0.31723936 0.12325904],[ 0.85704212  0.5059347   0.04185573 -0.08807374]
52,[0.51431804 0.27195152 0.07982292],[ 0.73076519  0.66835408 -0.10940493  0.08553145]
53,[0.42998122 0.25544198 0.08993235],[ 0.68610908  0.70272025 -0.14783546  0.11654725]
54,[0.43185819 0.258377   0.09086552],[ 0.49382828  0.84976875 -0.16742785  0.07742492]
55,[0.44965636 0.33308272 0.10966272],[ 0.61797813  0.78168908 -0.00748663 -0.08372078]
56,[0.47001048 0.29080716 0.14949556],[ 0.84528982  0.53024382 -0.02674991  0.0600921 ]
57,[0.41630431 0.33974446 0.1095019 ],[ 0.91888914  0.34154436 -0.11194588 -0.16266013]
58,[0.27888571 0.30509288 0.0627835 ],[ 0.88311882  0.36564595 -0.25664336 -0.14331214]
59,[0.31292989 0.35299653 0.16651651],[ 0.88646873  0.43963523 -0.11493837 -0.08765404]
60,[0.36056348 0.34371464 0.29891305],[0.77172786 0.63333706 0.05629181 0.01230886]
61,[0.40007405 0.34338189 0.4078043 ],[0.66572353 0.70473998 0.19515883 0.1485489 ]
62,[0.42809643 0.35884939 0.53741884],[0.6584649  0.67358592 0.29669623 0.15709018]
63,[0.32145749 0.37701908 0.61166771],[0.60202281 0.67602117 0.34185139 0.25239165]
